Adress,City,Street name,Postal code,Latitude,Longitude,Rooms,Property type,Elevator,Balcony/Terrace,Energy label,Price,Province,Days on Market,Link,Off. vurdering,Home size,Monthly expense,Ground size
Nørregade 27,Agerskov,Nørregade 27,6534,55.13096,9.136025,4 værelser,Villa,,,E,495000,Sydjylland,Til salg i alt:22dage,https://www.boligsiden.dk/addresses/0a3f50b7-341e-32b8-e044-0003ba298018,,100,1.079,1015
Keldsvej 5,Store Fuglede,Keldsvej 5,4480,55.577656,11.180144,7 værelser,Villa,,,C,1695000,Vest- og Sydsjælland,Til salg i alt:50dage,https://www.boligsiden.dk/addresses/0a3f50ac-ee55-32b8-e044-0003ba298018,1.488.000,223,2.079,924
Tofteengen 8,Roskilde,Tofteengen 8,4000,55.69327,12.147028,7 værelser,Villa,,,,6495000,Østsjælland,Til salg i alt:23dage,https://www.boligsiden.dk/addresses/616d7375-2b07-4a31-ac77-bcf4864417b6,5.611.000,190,2.944,834
Længstedal 16,Skjern,Længstedal 16,6900,56.003277,8.696856,7 værelser,Villa/Landejendom,,,C,1495000,Vestjylland,42 dage,https://www.boligsiden.dk/addresses/19c2c328-be47-4687-9d9a-0a0c2405afe7,1.956.000,224,2.222,17768
Åskrænten 22,Egå,Åskrænten 22,8250,56.203278,10.264264,5 værelser,Villa,,,C,6998000,Østjylland,0 dag,https://www.boligsiden.dk/addresses/0a3f50c4-ca69-32b8-e044-0003ba298018,5.934.000,163,4.825,810
Ladelundsvej 10,Silkeborg,Ladelundsvej 10,8600,56.178215,9.512037,5 værelser,Villa,,,C,4195000,Østjylland,Til salg i alt:241dage,https://www.boligsiden.dk/addresses/0a3f50c1-e5e8-32b8-e044-0003ba298018,3.922.000,235,3.071,924
Anders Olesens Vej 1,Løkken,Anders Olesens Vej 1,9480,57.338497,9.774502,2 værelser,Villa,,,F,525000,Nordjylland,58 dage,https://www.boligsiden.dk/addresses/0a3f50c8-9840-32b8-e044-0003ba298018,476.000,150,953.0,800
Terslev Bygade 13,Haslev,Terslev Bygade 13,4690,55.37475,11.969055,6 værelser,Villa,,,C,1295000,Vest- og Sydsjælland,209 dage,https://www.boligsiden.dk/addresses/0a3f50ad-211d-32b8-e044-0003ba298018,2.333.000,185,2.336,754
Blüchers Alle 10,Varde,Blüchers Alle 10,6800,55.64905,8.680523,3 værelser,Villa,,,C,698000,Sydjylland,72 dage,https://www.boligsiden.dk/addresses/0a3f50b9-a4b6-32b8-e044-0003ba298018,684.000,131,1.19,801
Bellisvej 8,Regstrup,Bellisvej 8,4420,55.673058,11.62258,4 værelser,Villa,,,C,2995000,Vest- og Sydsjælland,62 dage,https://www.boligsiden.dk/addresses/0a3f50ad-900d-32b8-e044-0003ba298018,2.533.000,150,2.086,927
Slagelsevej 45,Slagelse,Slagelsevej 45,4200,55.36561,11.377157,7 værelser,Villa,,,D,745000,Vest- og Sydsjælland,Til salg i alt:20dage,https://www.boligsiden.dk/addresses/0a3f50ad-05ef-32b8-e044-0003ba298018,1.467.000,155,1.721,1060
Dalvej 17,Gentofte,Dalvej 17,2820,55.762123,12.549483,6 værelser,Villa,,,D,10995000,Københavns omegn,40 dage,https://www.boligsiden.dk/addresses/0a3f50a3-ae45-32b8-e044-0003ba298018,9.405.000,146,6.002,630
Molevej 5,Asperup,Molevej 5,5466,55.509533,9.883402,3 værelser,Villa,,,F,3495000,Fyn,35 dage,https://www.boligsiden.dk/addresses/0a3f50b3-7cf9-32b8-e044-0003ba298018,2.145.000,117,2.011,2288
Rudegårds Alle 11,Holte,Rudegårds Alle 11,2840,55.82331,12.461146,8 værelser,Villa,,,C,18000000,Nordsjælland,36 dage,https://www.boligsiden.dk/addresses/4a78ea4c-0836-6ee8-e044-0003ba298018,14.150.000,272,11.25,1289
Bakkekvarteret Bolig 8,Frederikssund,Bakkekvarteret Bolig 8,3600,,,3 værelser,Villa,,,A2020,2775000,Nordsjælland,6 dage,https://www.boligsiden.dk/addresses/625e634c-af65-4e50-a873-c081b1234b24,,87,3.437,208
Prins Buris Vej 56,Holstebro,Prins Buris Vej 56,7500,56.347103,8.648849,4 værelser,Villa,,,C,2650000,Vestjylland,14 dage,https://www.boligsiden.dk/addresses/0a3f50be-1bc6-32b8-e044-0003ba298018,2.271.000,172,2.596,1285
Skovvangsvej 12,Hadsten,Skovvangsvej 12,8370,56.32537,10.065321,5 værelser,Villa,,,C,2698000,Østjylland,70 dage,https://www.boligsiden.dk/addresses/0a3f50bf-f991-32b8-e044-0003ba298018,2.493.000,183,2.702,1003
Mågevej 15,Dianalund,Mågevej 15,4293,55.525703,11.493291,6 værelser,Villa,,,E,1995000,Vest- og Sydsjælland,49 dage,https://www.boligsiden.dk/addresses/0a3f50ac-a520-32b8-e044-0003ba298018,1.737.000,191,1.903,1118
Bjerrevej 53,Horsens,Bjerrevej 53,8700,55.848095,9.846123,6 værelser,Villa,,,D,1450000,Østjylland,Til salg i alt:30dage,https://www.boligsiden.dk/addresses/0a3f50bb-39bc-32b8-e044-0003ba298018,2.072.000,148,1.67,659
Borgergade 16,Børkop,Borgergade 16,7080,55.66743,9.673926,5 værelser,Villa,,,D,1745000,Sydjylland,176 dage,https://www.boligsiden.dk/addresses/0a3f50ba-4f88-32b8-e044-0003ba298018,1.573.000,140,1.66,208
Nørrevang 1,Jelling,Nørrevang 1,7300,55.757973,9.431487,5 værelser,Villa,,,D,2395000,Sydjylland,63 dage,https://www.boligsiden.dk/addresses/0a3f50bb-ae3b-32b8-e044-0003ba298018,2.517.000,188,2.405,1247
Markskellet 63,Billund,Markskellet 63,7190,55.715546,9.1183405,5 værelser,Villa,,,B,2595000,Sydjylland,34 dage,https://www.boligsiden.dk/addresses/0a3f50b8-5f67-32b8-e044-0003ba298018,2.139.000,137,1.661,696
Kastelvej 50,Mesinge,Kastelvej 50,5370,55.501503,10.678053,5 værelser,Villa,,,B,1395000,Fyn,75 dage,https://www.boligsiden.dk/addresses/0a3f50b2-f00c-32b8-e044-0003ba298018,1.211.000,108,1.932,2007
Øster Bordingtoften 13,Silkeborg,Øster Bordingtoften 13,8600,56.190487,9.480778,5 værelser,Villa,,,,3395000,Østjylland,48 dage,https://www.boligsiden.dk/addresses/b70ed0f0-1355-4712-8857-464aa9c0d0c3,3.146.000,162,2.329,834
"Vitus Berings Alle 5A, st.",Klampenborg,"Vitus Berings Alle 5A, st.",2930,55.775463,12.587344,6 værelser,Villa,,,D,18000000,Københavns omegn,102 dage,https://www.boligsiden.dk/addresses/0a3f50a4-269a-32b8-e044-0003ba298018,19.854.000,288,17.576,-
Lerpøtvej 115,Varde,Lerpøtvej 115,6800,55.659374,8.46863,5 værelser,Villa,,,D,1600000,Sydjylland,61 dage,https://www.boligsiden.dk/addresses/0a3f50b9-ef43-32b8-e044-0003ba298018,765.000,142,1.038,1000
Kaasen 36,Samsø,Kaasen 36,8305,55.79825,10.532168,2 værelser,Villa/Fritidsbolig,,,D,795000,Østjylland,43 dage,https://www.boligsiden.dk/addresses/0a3f50c1-a88b-32b8-e044-0003ba298018,574.000,84,1.067,260
Søgårdsvej 4,Langeskov,Søgårdsvej 4,5550,55.343655,10.608045,6 værelser,Villa,,,C,995000,Fyn,26 dage,https://www.boligsiden.dk/addresses/0a3f50b3-0b63-32b8-e044-0003ba298018,1.598.000,152,1.814,1314
Byvej 65,Frederikssund,Byvej 65,3600,55.85511,12.063913,7 værelser,Villa,,,C,3095000,Nordsjælland,71 dage,https://www.boligsiden.dk/addresses/0a3f50a8-4db9-32b8-e044-0003ba298018,3.680.000,226,3.618,959
Årupparken 32,Hedensted,Årupparken 32,8722,55.777798,9.686673,7 værelser,Villa,,,C,3345000,Østjylland,310 dage,https://www.boligsiden.dk/addresses/0a3f50bb-1231-32b8-e044-0003ba298018,2.806.000,225,2.378,1111
Klokkedal 40,Haderslev,Klokkedal 40,6100,55.290092,9.441153,4 værelser,Villa,,,C,1345000,Sydjylland,35 dage,https://www.boligsiden.dk/addresses/0a3f50b6-c458-32b8-e044-0003ba298018,1.134.000,147,1.314,1187
Sigkvarteret 8,Herning,Sigkvarteret 8,7400,56.129314,8.899013,5 værelser,Villa,,,C,1795000,Vestjylland,2 dage,https://www.boligsiden.dk/addresses/0a3f50bd-a066-32b8-e044-0003ba298018,1.992.000,177,1.725,775
Hesselvang 22,Vejle,Hesselvang 22,7100,55.69229,9.557272,5 værelser,Villa,,,C,2995000,Sydjylland,1 dag,https://www.boligsiden.dk/addresses/0a3f50bc-c021-32b8-e044-0003ba298018,3.784.000,188,3.804,854
Haugårdsvej 86,Løgstør,Haugårdsvej 86,9670,56.977077,9.341382,5 værelser,Villa,,,C,1395000,Nordjylland,399 dage,https://www.boligsiden.dk/addresses/0a3f50c8-868b-32b8-e044-0003ba298018,503.000,151,997.0,1700
