Type,Name,Latitude,Longitude
Schools,n/a,57.65724887589285714285714285,12.12881667351190476190476190
Schools,Rybners Tekniske Skole,55.4917392,8.4563603
Schools,Bryndum Skole,55.5285177,8.4629133
Schools,Naturskolen,55.24885582,11.24869812
Schools,Studie10 - Esbjerg,55.5147392,8.4480954
Schools,Sønderrisskolen Aura,55.5216715,8.4210558
Schools,Egetofte Naturskole,54.9016296,9.8417073
Schools,Nørskovhus Naturskole,55.2246808,9.4298997
Schools,Flatåsskolan,57.6643486,11.9276859
Schools,Huholt Skole,54.9183422,9.8457830
Schools,Nordals Naturskole,55.0175586,9.8826689
Schools,Nya Kullaviksskolan,57.5466395,11.9400019
Schools,Instituttet for Blinde og Svagsynede - IBOS,55.7267963,12.5634854
Schools,Fritidshjemmet Ærtebjerg,55.6350689,12.4628603
Schools,Ungdomskolen,55.7367473,12.1542546
Schools,Burgårdens Gymnasium,57.7003173,11.9866986
Schools,Furulidskolan,57.83517099230769230769230769,14.82162848461538461538461538
Schools,Myråsskolan,57.7329996,13.0105825
Schools,Ekebackeskolan,56.3792498,13.9907501
Schools,Blidstrup Efterskole,56.7151261,8.6921463
Schools,Tolleredskolan,57.8147799,12.4225487
Schools,Grenå Tekniske Skole,56.4065910,10.8740024
Schools,10'eren,56.78613918,8.83432332
Schools,Skolen på Nyelandsvej,55.6828139,12.5303254
Schools,Allbo Lärcenter,56.8939779,14.5443563
Schools,Sønder Vium Friskole,55.8225593,8.4107523
Schools,Holbøl Skole,54.8935921,9.4398691
Schools,Social- og Sundhedsskolen,56.4318484875,10.068681740625
Schools,Voksen Uddannelses Center,55.2066918,11.7654967
Schools,Tarm Skole,55.9032043,8.5187877
Schools,Stenderrup Centralskole,55.4608107,9.6167555
Schools,Trekronergade Freinetskole,55.6572129,12.5197857
Schools,Simrishamn Österlengymnasiet,55.5573895,14.3318566
Schools,Lyø Gl Skole,55.0429534,10.1498797
Schools,Galten Friskole,56.1631828,9.8993658
Schools,Vinderup Skole,56.4792850,8.7833212
Schools,Vestjysk Gymnasium Tarm (VGT),55.9056465,8.5229586
Schools,Rydhave Slot Ungdomsskole,56.4527491,8.7630158
Schools,Tryggelev,54.8055502,10.7083804
Schools,Hestra midgård,57.7253171,12.8964211
Schools,Norrbyskolan,57.7249784,12.9286129
Schools,Strandängsskolan,56.4284619,12.8484195
Schools,Hasselager Skole,56.1067566,10.0953002
Schools,Skolen ved Milestedet,55.6700978,12.4506967
Schools,Vejlefjordskolen,55.7129571,9.6853565
Schools,Nakskov Uddannelsescenter,54.8351758,11.1388332
Schools,Gråsten Skole,54.9201809,9.5873422
Schools,Grauballe Skole,56.2267518,9.6336767
Schools,Trekløverskolen,55.83936564615384615384615385,12.06686644615384615384615385
Schools,Kornmarkskolen Afdeling Skævinge,55.9102926,12.1557272
Schools,Lekerydsskolan,57.7742555,14.4176413
Schools,Timsfors Skola,56.4794584,13.6126699
Schools,Vanneberga skola,56.0828041,13.9075836
Schools,Franska skolan i Göteborg,57.6926229,11.9711683
Schools,Farabols skola,56.4372250,14.5751525
Schools,Brännö skola och förskola,57.6404049,11.7804367
Schools,Clavis,55.6305935,12.0754827
Schools,Freerslevhus,55.9119504,12.2339785
Schools,Skovlyst Naturskole,55.0195242,9.4058431
Schools,LBS,57.1022898,12.2673385
Schools,Klosternakkeskolen,55.1240627,12.0465622
Schools,Rudolf Steiner Skolen Vordingborg,55.0010901,11.8931574
Schools,Plönningegymnasiet,56.7324167,12.7458624
Schools,Bavnehøjskolen,56.3282190,10.0717721
Schools,Østervangskolen,56.3208708,10.0389590
Schools,Frijsendal Friskole,56.2800353,9.8311146
Schools,Rise Skole,54.8524800,10.4071910
Schools,Eckener-Schule,54.7764388,9.4163906
Schools,Gemeinschaftsschule an der Lecker Au,54.7684950,8.9819327
Schools,Steninge skola,56.7818386,12.6771053
Schools,Steninge förskola,56.7687034,12.6303873
Schools,Niels Brock,55.6825046,12.5745879
Schools,Naturskolen Perlen,55.4695636,9.4921472
Schools,NTI Gymnasiet Kronhus,57.7082216,11.9656507
Schools,Kolding Realskole,55.4903678,9.4681507
Schools,Aleholmsskolan,57.3930280,14.6648101
Schools,Vrigstad Skola,57.3562070,14.4700264
Schools,Sorgenfriskolen,55.7834737,12.4904187
Schools,Mariedal,57.7061188,12.9636980
Schools,IT-gymnasiet,56.0422030,12.7001072
Schools,PeterSvenskolan 1,56.0415091,12.7003634
Schools,Cultura gymnasium,56.0402513,12.6999757
Schools,Ulvedalskolen,56.1825000,9.5039905
Schools,SOSU Østjylland - Aarhus,56.1890954,10.1843549
Schools,Heldagsskolen Vallensved,55.2695899,11.6432407
Schools,Gudenåskolen,56.0886070,9.7786344
Schools,Randers Lille Skole,56.4633534,10.0476141
Schools,Gjern Skole,56.2244961,9.7411594
Schools,Hofgårdsskolan,57.3967452,14.6753062
Schools,Komvux Andersberg,56.6622589,12.9045207
Schools,Friskolen i skive,56.5641494,9.0283406
Schools,Glemminge skola,55.4553415,14.0204447
Schools,Tingsholmsgymnasiet,57.7906403,13.4233927
Schools,Degebergaskolan,55.8313667,14.0878980
Schools,Orkester Efterskolen,56.3601929,8.5980721
Schools,Viby skola,56.0106660,14.2471189
Schools,Vestjyllands Højskole,56.0664367,8.3148571
Schools,Aarhus Business College - HG,56.1895317,10.1820683
Schools,Den Kristne Friskole,56.4933249,10.0193080
Schools,Flyvevåbnets Officersskole,55.7174668,12.5730322
Schools,Töråsskolan,57.2743434,13.6333137
Schools,Idrætshøjskolen,56.1925581,10.2065042
Schools,Fagerslätts förskola,57.7901093,14.3055793
Schools,Landvetterskolan,57.6867582,12.2166274
Schools,Sjömarkenskolan,57.7195679,12.8268686
Schools,VUC Vest,55.4836119,9.1397437
Schools,Krebs' Skole,55.6898694,12.5757128
Schools,Isenvad skole,56.0987939,9.2002941
Schools,Gränums skola,56.2285150,14.6072458
Schools,Skovlund Efterskole,55.7382423,8.7032564
Schools,Korpadalsskolan,56.2051402,14.8499518
Schools,Förskolan Tuvan,57.6595788,14.7105040
Schools,Sofiendalsskolen,55.3287260,11.9734338
Schools,Ljungfälleskolan,56.8490850,14.8222760
Schools,Teleborg Centrum,56.8521429,14.8209142
Schools,Taps Skole,55.3950210,9.4756692
Schools,Snekkersten Skole,56.0060960,12.5738148
Schools,Ravnkilde skole,56.7568876,9.7491421
Schools,Hjerk Harre Skole,56.6973996,8.9391567
