Type,Name,Latitude,Longitude
Beaches,,57.1085543,12.2418697
Beaches,Fyns Nordligste Punkt,55.6227199,10.3007019
Beaches,Djursnæs,55.9450952,11.8545308
Beaches,Bork Nordstrand,55.8505723,8.2804888
Beaches,FKK,54.5788756,13.4197429
Beaches,Sibirien stranden,56.2369066,12.8142196
Beaches,Fyns Sydligste Punkt,55.0265954,10.516444
Beaches,Nymølle,56.6779796,8.7891927
Beaches,Älmeshultabadet,57.7131631,14.861241
Beaches,Westwid Nord,56.0201479,8.1293732
Beaches,Hemmet Strand,55.8763882,8.3335657
Beaches,Tange Søbad,56.3345454,9.5760012
Beaches,Kloster Surfspot,56.1058433,8.1698628
Beaches,Ellenbogenspitze,55.0459475,8.4639548
Beaches,Ålabodarnas strand,55.9379594,12.7809636
Beaches,Holmens Camping,56.0767228,9.760835
Beaches,Strandkær Strand,56.2172409,10.5842864
Beaches,FKK-Strand,54.655287,10.032715
Beaches,Bjerregård Havn,55.88044,8.1832467
Beaches,Nørhede Strand,56.3211167,8.2044724
Beaches,Sorte Bakker Strand,56.0735378,8.2692236
Beaches,Bork Sydstrand,55.8452359,8.2748777
Beaches,Rosenholm Bådelaug,56.2925721,10.395293
Beaches,Bøgehoved,55.7349882,10.0373535
Beaches,Vätterstranden,57.7821713,14.1891229
Beaches,FKK Strand Niedamm / Golsmaas,54.7603305,9.9740342
Beaches,Skullarydsbadet,57.7584431,14.9190638
Beaches,Hundbad Vårhallen,55.5802205,14.3344801
Beaches,Balgö Brygga,57.1686079,12.2107437
Beaches,Rånnavägsbadplats,57.6756338,13.490059
Beaches,Svanebäcksstranden,56.1595625,12.5646262
Beaches,Badplats Färåstjärn,57.6111534,12.028545
Beaches,Stora skärsvägen Nyhamnsläge,56.2353705,12.5352512
Beaches,Bryggan Nyhamnsläge,56.239952,12.5355012
Beaches,Badestrand,56.7776698,15.1437699
Beaches,Hinneryd badplats,56.6118333,13.6085958
Beaches,Bækskilde strand,54.9671772,10.4110798
Beaches,Sikabacken,56.7562141,14.9045878
Beaches,Bastuviken,56.1796248,15.0766936
Beaches,Grønhøj Strand,57.3277475,9.6625232
Beaches,Hostrup Strand,56.5697538,8.7398262
Beaches,Skjern Å Bad,55.9315937,8.5030433
Beaches,Østre Strand Struer,56.4833234,8.6132103
Beaches,Vadum Strand,56.6430023,8.7603888
Beaches,Livbjerggård Strand,56.4700893,8.6784635
Beaches,Näset,56.1765977,15.0722416
Beaches,Vinkelhage Strand,56.5678961,8.2961772
Beaches,Harrevig Strand,56.7032541,8.9186348
Beaches,Strandkær Strand Shelter,56.2185675,10.5848235
Beaches,Skibelund,55.4329772,9.6424696
Beaches,Strand,55.4255521,12.8397159
Beaches,Djupa Ro,56.7503968,14.9159732
Beaches,Röde Holme,57.3723533,11.9844712
Beaches,Hunde-Strand,54.6454737,10.0309669
Beaches,Furestads badplats,56.1620494,14.380549
Beaches,Gottskär - Utholmen,57.391043,12.0254173
Beaches,Rumpen,55.93180051111111,10.709935805555556
Beaches,Kyholm,55.93178081739131,10.670836013043479
Beaches,Lindholm,55.92749261388889,10.695151652777776
Beaches,Hjelm,56.133286917647055,10.800595076470588
Beaches,Hunseby Strand,54.8281902,11.543700036363637
Beaches,Nybølle Strand,54.95747965,11.24469865
Beaches,Ostseebad,54.81245779038461,9.430278478846153
Beaches,Weidefelder Strand,54.64904301951219,10.031524170731709
Beaches,Nordstrand,55.45927487608696,10.66765944347826
Beaches,Sydstranden,55.447818417647056,10.667467661764704
Beaches,Bellevue Strand,55.77757486666666,12.592524462962961
Beaches,Vedbæk Sydstrand,55.847426516,12.572114912
Beaches,Dragør Sydstrand,55.583088985365855,12.665646804878048
Beaches,Hellerup Strand,55.73305801904762,12.58224718095238
Beaches,Vallensbæk Strand - Brøndby Strand,55.61267975,12.420355967647058
Beaches,Hundige Strand - Ishøj Strand,55.602521875,12.38450735
Beaches,Olsbæk Strand,55.58760779130434,12.338180039130433
Beaches,Ølsemagle Revle,55.496114759090915,12.209770027272729
Beaches,Furesøbad,55.80350953125,12.385892625
Beaches,Jersie Strand,55.5212981625,12.22309579375
Beaches,Henne Strand,55.73416505555555,8.169678133333333
Beaches,Badestelle Lüttmoorsiel,54.56108520833334,8.870676716666667
Beaches,Skanörs norra revel nakenbad,55.43159604607843,12.840959386274507
Beaches,Enø Strand,55.172249042857146,11.65045651190476
Beaches,Strand Sandwig,54.84228383243243,9.530988191891893
Beaches,Klinten Strand,55.08751809411765,10.255468770588235
Beaches,Karlas Plads,55.0494811,10.616578466666667
Beaches,Vindebyøre strand,55.05520804722222,10.630792355555556
Beaches,Skrånbjerg,55.43742286086957,8.4415191
Beaches,Christiansminde Badestrand,55.05813975307692,10.639684674615385
Beaches,Holtbjerg Sø Badestrand,56.12737108,9.001066574285714
Beaches,Badestrand Grüner Brink,54.50884777959184,11.198275
Beaches,Følle Strand,56.29478123207547,10.42740789245283
Beaches,Ballehage Strand,56.121130828571424,10.2253989
Beaches,Tirsbæk Strand,55.708936981818184,9.632048609090909
Beaches,Strand Schaprode,54.51646765,13.163366303846152
Beaches,Ribersborgsstranden,55.60174743529412,12.961371384313724
Beaches,Hundebadestrand,54.570504383333336,13.453123333333332
Beaches,Knudhule,56.101908285,9.784082245
Beaches,Svanemølle Strand,55.72020801,12.58364599
Beaches,Vedbæk Nordstrand,55.85142486551724,12.56962094137931
Beaches,Moesgård Strand,56.08754639032258,10.248682451612904
Beaches,Østre Søbad,56.14772956666666,9.55622645
Beaches,Lyåsa beach,57.1310253,14.36443147
Beaches,Hauptstrand Glowe,54.57092816,13.463728466153846
