Type,Name,Latitude,Longitude
Schools,Rybners Tekniske Skole,55.4917392,8.4563603
Schools,Bryndum Skole,55.5285177,8.4629133
Schools,Naturskolen,55.24885582,11.24869812
Schools,Studie10 - Esbjerg,55.5147392,8.4480954
Schools,Sønderrisskolen Aura,55.5216715,8.4210558
Schools,Egetofte Naturskole,54.9016296,9.8417073
Schools,Nørskovhus Naturskole,55.2246808,9.4298997
Schools,Huholt Skole,54.9183422,9.845783
Schools,Nordals Naturskole,55.0175586,9.8826689
Schools,Instituttet for Blinde og Svagsynede - IBOS,55.7267963,12.5634854
Schools,Fritidshjemmet Ærtebjerg,55.6350689,12.4628603
Schools,Ungdomskolen,55.7367473,12.1542546
Schools,Blidstrup Efterskole,56.7151261,8.6921463
Schools,Grenå Tekniske Skole,56.406591,10.8740024
Schools,10'eren,56.78613918,8.83432332
Schools,Skolen på Nyelandsvej,55.6828139,12.5303254
Schools,Sønder Vium Friskole,55.8225593,8.4107523
Schools,Holbøl Skole,54.8935921,9.4398691
Schools,Social- og Sundhedsskolen,56.4318484875,10.068681740625
Schools,Voksen Uddannelses Center,55.2066918,11.7654967
Schools,Tarm Skole,55.9032043,8.5187877
Schools,Stenderrup Centralskole,55.4608107,9.6167555
Schools,Trekronergade Freinetskole,55.6572129,12.5197857
Schools,Lyø Gl Skole,55.0429534,10.1498797
Schools,Galten Friskole,56.1631828,9.8993658
Schools,Vinderup Skole,56.479285,8.7833212
Schools,Vestjysk Gymnasium Tarm (VGT),55.9056465,8.5229586
Schools,Rydhave Slot Ungdomsskole,56.4527491,8.7630158
Schools,Tryggelev,54.8055502,10.7083804
Schools,Hasselager Skole,56.1067566,10.0953002
Schools,Skolen ved Milestedet,55.6700978,12.4506967
Schools,Vejlefjordskolen,55.7129571,9.6853565
Schools,Nakskov Uddannelsescenter,54.8351758,11.1388332
Schools,Gråsten Skole,54.9201809,9.5873422
Schools,Grauballe Skole,56.2267518,9.6336767
Schools,Trekløverskolen,55.83936564615385,12.066866446153846
Schools,Kornmarkskolen Afdeling Skævinge,55.9102926,12.1557272
Schools,Clavis,55.6305935,12.0754827
Schools,Freerslevhus,55.9119504,12.2339785
Schools,Skovlyst Naturskole,55.0195242,9.4058431
Schools,Klosternakkeskolen,55.1240627,12.0465622
Schools,Rudolf Steiner Skolen Vordingborg,55.0010901,11.8931574
Schools,Bavnehøjskolen,56.328219,10.0717721
Schools,Østervangskolen,56.3208708,10.038959
Schools,Frijsendal Friskole,56.2800353,9.8311146
Schools,Rise Skole,54.85248,10.407191
Schools,Niels Brock,55.6825046,12.5745879
Schools,Naturskolen Perlen,55.4695636,9.4921472
Schools,Kolding Realskole,55.4903678,9.4681507
Schools,Sorgenfriskolen,55.7834737,12.4904187
Schools,Ulvedalskolen,56.1825,9.5039905
Schools,SOSU Østjylland - Aarhus,56.1890954,10.1843549
Schools,Heldagsskolen Vallensved,55.2695899,11.6432407
Schools,Gudenåskolen,56.088607,9.7786344
Schools,Randers Lille Skole,56.4633534,10.0476141
Schools,Gjern Skole,56.2244961,9.7411594
Schools,Friskolen i skive,56.5641494,9.0283406
Schools,Orkester Efterskolen,56.3601929,8.5980721
Schools,Vestjyllands Højskole,56.0664367,8.3148571
Schools,Aarhus Business College - HG,56.1895317,10.1820683
Schools,Den Kristne Friskole,56.4933249,10.019308
Schools,Flyvevåbnets Officersskole,55.7174668,12.5730322
Schools,Idrætshøjskolen,56.1925581,10.2065042
Schools,VUC Vest,55.4836119,9.1397437
Schools,Krebs' Skole,55.6898694,12.5757128
Schools,Isenvad skole,56.0987939,9.2002941
Schools,Skovlund Efterskole,55.7382423,8.7032564
Schools,Sofiendalsskolen,55.328726,11.9734338
Schools,Taps Skole,55.395021,9.4756692
Schools,Snekkersten Skole,56.006096,12.5738148
Schools,Ravnkilde skole,56.7568876,9.7491421
Schools,Hjerk Harre Skole,56.6973996,8.9391567
Schools,Østerlars Friskole,55.1642666,14.9698275
Schools,Bjedstrup Skole,56.0649867,9.8575472
Schools,Reerslev Friskole,55.5575066,11.393498
Schools,Nærum Gymnasium,55.81906088421053,12.533220410526315
Schools,Egekratskolen Fortuna,55.530999,8.6528704
Schools,Horne Skole,55.7259579,8.5318814
Schools,Hjemmeværnsskolen,55.819716,8.1939357
Schools,Årre Børnecenter,55.5744752,8.6662384
Schools,Nymarksskolen,55.4107823125,10.5955075
Schools,Christianshavn Døttreskole,55.6733005,12.5939114
Schools,The Animation Workshop,56.4560382,9.4061164
Schools,Frederiksberg HF-kursus,55.6799579,12.4985739
Schools,Dragen,55.2322598,9.4980612
Schools,Fjelstrup Skole,55.32183,9.559548
Schools,Hoptrup Skole,55.1782924,9.4531866
Schools,Moltrup Skole,55.2833114,9.4532435
Schools,Nustrup Fællesskole,55.2693549,9.1719607
Schools,Sommersted Skole,55.319035,9.3104647
Schools,UUC 10. klasse Vojens,55.2450575,9.3019256
Schools,Vilstrup Skole,55.1944817,9.5183934
Schools,Aarø Lejrskole,55.2585373,9.7383912
Schools,Den X-Perimenterende Kunstskole,55.2453712,9.4999535
Schools,Haderslev Musikskole,55.2559696,9.492407
Schools,Haderslev Kommunale Ungdomsskole,55.2558842,9.4923602
Schools,Haderslev Kristne Friskole,55.2552772,9.4862451
Schools,Haderslev Produktionshøjskole,55.2648037,9.4857494
Schools,Hoptrup Efterskole,55.182846,9.4594989
Schools,STU,55.2518852,9.4972866
Schools,Sommersted Efterskole,55.3083205,9.277791
Schools,Sprogcentret,55.2519395,9.4973769
Schools,Sønderballe Lejrskole,55.1393233,9.5019569
Schools,Deutsche Schule Felsted,54.9824043,9.4965076
Schools,Gefion Gymnasium,55.6882961,12.5813831
Schools,Helsingør Byskole,56.0382872,12.6071049
Schools,Ingstrup Efterskole,57.3194532,9.6767677
Schools,Vittrup Fri Fagskole,57.386381,9.7904615
Schools,Prins Henriks Skole,55.6739171,12.5496938
Schools,Fabrikken,55.6227549,12.6141227
Schools,VSU,55.2518886,9.4971242
Schools,Herningsholm Gymnasium Mediatek,56.1479726,8.9916041
Schools,"Fjordbakkeskolen, Afd. Skærbæk",55.5171027,9.6285286
Schools,Oksbøl Friskole,55.0259909,9.7310123
Schools,Ollerup Efterskole,55.072979,10.5153643
Schools,​Svendborg Heldagsskole,55.0737459,10.4910405
Schools,Brøderup Ungdomsskole,55.1838355,11.9842179
Schools,Deutsche Nachschule Tingleff,54.9341506,9.2491808
Schools,Dybbøl Efterskole,54.9311972,9.7334558
Schools,Effterskolen Alterna,56.6467754,9.9594209
Schools,Efterskolen Flyvesandet,55.6054133,10.333848
Schools,Efterskolen Solgården,55.8977397,8.5130504
Schools,Efterskolen Epos på Danebod,54.986627,9.9768403
Schools,Emmerske Efterskole,54.9555682,8.9152855
Schools,Faxehus Efterskole,55.2048262,12.1469906
Schools,Fenskær Efterskole,56.5443823,8.4178802
Schools,Frøslev Efterskole,54.841988,9.329053
Schools,Galtrup Musik- og Idrætsefterskole,56.8387755,8.7182039
Schools,Glamsdalens Idrætsefterskole,55.2715324,10.1167121
Schools,Grønsund Idrætsefterskole,54.9204545,12.0461121
Schools,Gudenådalens Ungdomsskole,56.3922216,9.7932788
Schools,Hald Ege Efterskole,56.4120012,9.3465838
Schools,Eltang Skole,55.5304246,9.534555
Schools,Agersted Friskole,57.1998151,10.3812638
Schools,Haslev Idrætsefterskole,55.3217481,11.965818
Schools,Hestlund Efterskole,56.1610516,9.234335
Schools,Himmerlands Ungdomsskole,56.8001116,9.4150191
Schools,Himmerlandscentrets Idrætsefterskole,56.7859409,9.679627
Schools,Hindholm Efterskole,55.2872693,11.5586286
Schools,Holmstrup Efterskole,55.6158924,11.3958142
Schools,Holte-Hus Efterskole,55.8039254,12.4551984
Schools,Hou Maritime Idrætsefterskole,55.9193602,10.2525704
Schools,Husby Efterskole,56.280975,8.1768405
Schools,Den danske Design- og Håndværkerefterskole,55.9416897,8.5147735
Schools,Haarby Efterskole,55.2224442,10.1122594
Schools,Hårslev Efterskole,55.27070811111111,11.476616411111111
Schools,Idrætsskolerne Ikast,56.1487849,9.142347
