Type,Name,Latitude,Longitude
Public Transport Stations,Nyborg,55.3138856,10.8035012
Public Transport Stations,Viby Sjælland,55.5497139,12.0243564
Public Transport Stations,Rungsted Kyst,55.8824425,12.5315085
Public Transport Stations,Vedbæk,55.8527265,12.5624471
Public Transport Stations,Holte,55.8076871,12.4685342
Public Transport Stations,Hjortøboen,54.9666329,10.4918268
Public Transport Stations,Rødovre,55.6648012,12.4591846
Public Transport Stations,Bispebjerg,55.7062098,12.5414024
Public Transport Stations,Charlottenlund,55.7517662,12.5723525
Public Transport Stations,Bernstorffsvej,55.7428089,12.5578091
Public Transport Stations,Sorgenfri,55.7812129,12.4835887
Public Transport Stations,Virum,55.7961547,12.4729758
Public Transport Stations,Trekroner,55.6478757,12.1319137
Public Transport Stations,Nyord (Postbåden Røret),55.0396623,12.1935828
Public Transport Stations,Jægersborg,55.7618855,12.5215091
Public Transport Stations,Lyngby Lokal,55.7739528,12.5055467
Public Transport Stations,Fuglevad,55.7849627,12.4973638
Public Transport Stations,Brede,55.793725,12.500822
Public Transport Stations,Ørholm,55.799759,12.5097837
Public Transport Stations,Ravnholm,55.8020557,12.5196228
Public Transport Stations,Øster Toreby,54.7598004,11.8354471
Public Transport Stations,Grænge,54.7741229,11.7649882
Public Transport Stations,Sakskøbing,54.7965382,11.6350782
Public Transport Stations,Ryde,54.7850772,11.3721324
Public Transport Stations,Søllested,54.8111016,11.2703089
Public Transport Stations,Avnede,54.8289954,11.2151514
Public Transport Stations,Nakskov,54.8334648,11.1381304
Public Transport Stations,Vejby,56.0625363,12.1363259
Public Transport Stations,Ørby,56.0556907,12.1626176
Public Transport Stations,Helsinge,56.0231203,12.2054546
Public Transport Stations,Duemose,56.0096416,12.2628678
Public Transport Stations,Kagerup,55.9974247,12.2860904
Public Transport Stations,Gribsø Trinbræt,55.9872318,12.3022266
Public Transport Stations,Færgeoverfarten Kulhuse - Sølager,55.9373116,11.9052677
Public Transport Stations,Færgeoverfarten Sølager - Kulhuse,55.9443855,11.9024431
Public Transport Stations,Hundested-Rørvig,55.9451997,11.7673738
Public Transport Stations,Ølsted,55.9231206,12.0733664
Public Transport Stations,Hammerum,56.1316708,9.0631533
Public Transport Stations,Herning Messecenter,56.1237015,8.9445421
Public Transport Stations,Troldhede,55.9907212,8.7451105
Public Transport Stations,Bording,56.1467708,9.278635
Public Transport Stations,Birk Centerpark,56.1253027,9.0297478
Public Transport Stations,Kibæk,56.0322903,8.852003
Public Transport Stations,Odense Sygehus,55.3814457,10.3666312
Public Transport Stations,Fruens Bøge,55.3696571,10.377521
Public Transport Stations,Hjallese,55.3582232,10.3925876
Public Transport Stations,Højby,55.3301247,10.4339728
Public Transport Stations,Årslev,55.3012658,10.4659487
Public Transport Stations,Pederstrup,55.2833897,10.4860425
Public Transport Stations,Ringe,55.2388658,10.4818048
Public Transport Stations,Kliplev,54.9351501,9.397753
Public Transport Stations,Nørre Alslev,54.8970991,11.885756
Public Transport Stations,Holme-Olstrup,55.2611533,11.8489455
Public Transport Stations,Brønderslev,57.2702469,9.9429985
Public Transport Stations,Vellingshøj,57.4804343,9.9686692
Public Transport Stations,Skørping,56.8362511,9.8873463
Public Transport Stations,Støvring,56.8920384,9.843943
Public Transport Stations,Skalborg,57.0078981,9.8978555
Public Transport Stations,Arden,56.7689807,9.8597954
Public Transport Stations,Gedser Leje 1,54.5737384,11.9267303
Public Transport Stations,Tolne,57.4859024,10.3132975
Public Transport Stations,Tisvildeleje,56.0593898,12.0779859
Public Transport Stations,Holløse,56.0595256,12.1172836
Public Transport Stations,Svebølle,55.6522903,11.2920852
Public Transport Stations,Venø Færgen,56.5172608,8.6137962
Public Transport Stations,Skjern,55.9473313,8.4921985
Public Transport Stations,Aulum,56.2652186,8.7881565
Public Transport Stations,Fredensborg,55.9770346,12.4069464
Public Transport Stations,Langerød,55.9812303,12.4515485
Public Transport Stations,Vildbjerg,56.1980169,8.7690938
Public Transport Stations,Vallensbæk,55.6233618,12.3867814
Public Transport Stations,Brøndby Strand,55.6209884,12.4218624
Public Transport Stations,Avedøre,55.6256622,12.4555838
Public Transport Stations,Friheden,55.6294229,12.483656
Public Transport Stations,Åmarken,55.6397684,12.4998659
Public Transport Stations,Sjælør,55.6515213,12.5267123
Public Transport Stations,Sydhavn,55.6548839,12.5376084
Public Transport Stations,Hundige,55.5979984,12.3340961
Public Transport Stations,Ishøj,55.613379,12.3578947
Public Transport Stations,Karlslunde,55.566255,12.2697411
Public Transport Stations,Solrød Strand,55.5333354,12.2181028
Public Transport Stations,Jersie,55.5214056,12.2089516
Public Transport Stations,Køge,55.4579793,12.1864669
Public Transport Stations,Gørløse,55.8867645,12.2021191
Public Transport Stations,Brøndby Strand Station,55.6212653,12.423369
Public Transport Stations,Rudkøbing busstation,54.9386209,10.7085969
Public Transport Stations,Nivå,55.9334337,12.5062517
Public Transport Stations,Greve,55.5816884,12.2966496
Public Transport Stations,Ribe,55.3276252,8.7702871
