Type,Name,Longitude,Latitude
Public Transport Stations,Nyborg,10.8035012,55.3138856
Public Transport Stations,Viby Sjælland,12.0243564,55.5497139
Public Transport Stations,Rungsted Kyst,12.5315085,55.8824425
Public Transport Stations,Vedbæk,12.5624471,55.8527265
Public Transport Stations,Holte,12.4685342,55.8076871
Public Transport Stations,Rävlanda,12.5004708,57.6543484
Public Transport Stations,Hjortøboen,10.4918268,54.9666329
Public Transport Stations,n/a,10.5484980,55.8648686
Public Transport Stations,Schaprode Passagiere,13.1645049,54.5128526
Public Transport Stations,Rødovre,12.4591846,55.6648012
Public Transport Stations,Bispebjerg,12.5414024,55.7062098
Public Transport Stations,Malmö C,13.0006612,55.6091374
Public Transport Stations,Charlottenlund,12.5723525,55.7517662
Public Transport Stations,Bernstorffsvej,12.5578091,55.7428089
Public Transport Stations,Sorgenfri,12.4835887,55.7812129
Public Transport Stations,Virum,12.4729758,55.7961547
Public Transport Stations,Trekroner,12.1319137,55.6478757
Public Transport Stations,Nyord (Postbåden Røret),12.1935828,55.0396623
Public Transport Stations,Jægersborg,12.5215091,55.7618855
Public Transport Stations,Lyngby Lokal,12.5055467,55.7739528
Public Transport Stations,Fuglevad,12.4973638,55.7849627
Public Transport Stations,Brede,12.5008220,55.7937250
Public Transport Stations,Ørholm,12.5097837,55.7997590
Public Transport Stations,Ravnholm,12.5196228,55.8020557
Public Transport Stations,Øster Toreby,11.8354471,54.7598004
Public Transport Stations,Grænge,11.7649882,54.7741229
Public Transport Stations,Sakskøbing,11.6350782,54.7965382
Public Transport Stations,Ryde,11.3721324,54.7850772
Public Transport Stations,Søllested,11.2703089,54.8111016
Public Transport Stations,Avnede,11.2151514,54.8289954
Public Transport Stations,Nakskov,11.1381304,54.8334648
Public Transport Stations,Vejby,12.1363259,56.0625363
Public Transport Stations,Ørby,12.1626176,56.0556907
Public Transport Stations,Helsinge,12.2054546,56.0231203
Public Transport Stations,Duemose,12.2628678,56.0096416
Public Transport Stations,Kagerup,12.2860904,55.9974247
Public Transport Stations,Gribsø Trinbræt,12.3022266,55.9872318
Public Transport Stations,Færgeoverfarten Kulhuse - Sølager,11.9052677,55.9373116
Public Transport Stations,Færgeoverfarten Sølager - Kulhuse,11.9024431,55.9443855
Public Transport Stations,Hundested-Rørvig,11.7673738,55.9451997
Public Transport Stations,Fährhafen Wyk Anleger 1,8.5758425,54.6930679
Public Transport Stations,MS Adler Express,8.2947043,54.7573642
Public Transport Stations,Wittower Fähre Nord,13.2475222,54.5578729
Public Transport Stations,Wittower Fähre Südseite Rügen,13.2449351,54.5547126
Public Transport Stations,Ølsted,12.0733664,55.9231206
Public Transport Stations,Hammerum,9.0631533,56.1316708
Public Transport Stations,Herning Messecenter,8.9445421,56.1237015
Public Transport Stations,Troldhede,8.7451105,55.9907212
Public Transport Stations,Bording,9.2786350,56.1467708
Public Transport Stations,Birk Centerpark,9.0297478,56.1253027
Public Transport Stations,Kibæk,8.8520030,56.0322903
Public Transport Stations,Odense Sygehus,10.3666312,55.3814457
Public Transport Stations,Fruens Bøge,10.3775210,55.3696571
Public Transport Stations,Hjallese,10.3925876,55.3582232
Public Transport Stations,Højby,10.4339728,55.3301247
Public Transport Stations,Årslev,10.4659487,55.3012658
Public Transport Stations,Pederstrup,10.4860425,55.2833897
Public Transport Stations,Ringe,10.4818048,55.2388658
Public Transport Stations,Växjö,14.8050364,56.8765384
Public Transport Stations,Bor,14.1691755,57.1157565
Public Transport Stations,Kliplev,9.3977530,54.9351501
Public Transport Stations,Nørre Alslev,11.8857560,54.8970991
Public Transport Stations,Holme-Olstrup,11.8489455,55.2611533
Public Transport Stations,Brønderslev,9.9429985,57.2702469
Public Transport Stations,Gustav Adolfs torg,12.9992036,55.6024741
Public Transport Stations,Stillerydshamnen,14.8168148,56.1600311
Public Transport Stations,Barum,14.3722565,56.1129531
