Type,Name,Longitude,Latitude
Supermarkets,ICA Kvantum Landvetter,12.2112450,57.6863361
Supermarkets,Edeka,13.2912213,54.6216340
Supermarkets,MENY Hjallesevej,10.3963852,55.3806611
Supermarkets,n/a,11.2213500,54.9147839
Supermarkets,Kvickly,12.1069981,55.7499159
Supermarkets,Coop,12.8276609,55.8866111
Supermarkets,Hemköp Göteborg Stigbergstorget,11.9348583,57.6988663
Supermarkets,Hemköp Lund Karhögstorg,13.1915000,55.6945000
Supermarkets,Ica Kvantum Sjöbo,13.7084811,55.6308335
Supermarkets,Hemköp Dalby,13.3491000,55.6644000
Supermarkets,ICA Supermarket,13.2047940,55.6426594
Supermarkets,Lidl,13.0892851,55.6413425
Supermarkets,365discount,10.1618206,56.1682064
Supermarkets,Ica Brunnshallen Simrishamn,14.3466785,55.5568756
Supermarkets,SuperBrugsen,10.1986826,56.1578239
Supermarkets,ICA Kvantum,13.2151317,55.7097522
Supermarkets,ICA Supermarket Gunnarssons,13.1093845,55.9140043
Supermarkets,Willy's Simrishamn,14.3478111,55.5519601
Supermarkets,Ica Nära Vollsjö,13.7900710,55.7059365
Supermarkets,Inselmarkt Kloster,13.1083852,54.5868520
Supermarkets,EDEKA,13.1050852,54.5678466
Supermarkets,Coop Konsum Knislinge,14.0868843,56.1925482
Supermarkets,Netto,12.4854155,55.6559720
Supermarkets,City Gross,12.5677984,56.2021772
Supermarkets,EDEKA Blask,9.4508269,54.7822278
Supermarkets,Ica Nära Lövestad,13.8899775,55.6534088
Supermarkets,Føtex,12.4837170,55.6268313
Supermarkets,Rema 1000,10.0119542,55.7148679
Supermarkets,Frischemarkt B. R. Rickmers,8.4462969,54.7316897
Supermarkets,SuperBrugsen Købenavn SV,12.5267520,55.6479992
Supermarkets,Spar Blåvand,8.1251044,55.5544358
Supermarkets,Brugsen,12.5553973,55.6724767
Supermarkets,Gränsbygden Köpcentrum,13.5289904,56.4852931
Supermarkets,365 discount,12.5274664,55.6482365
Supermarkets,Bilka Ishøj,12.3537267,55.6143437
Supermarkets,Bilka Waves - Hundige,12.3263466,55.5987845
Supermarkets,ICA Supermarket Bergsjön,12.0717770,57.7565012
Supermarkets,Hemköp Göteborg Kortedala Torg,12.0314000,57.7521000
Supermarkets,Willys hemma,11.9340689,57.6962192
Supermarkets,ICA Supermarket Majorna,11.9276093,57.6972771
Supermarkets,Hemköp Göteborg Masthuggstorget,11.9431036,57.6984196
Supermarkets,ICA Focus,11.9929922,57.6984658
Supermarkets,Spar Vejby,12.1296204,56.0816240
Supermarkets,Dagli'Brugsen,12.5143431,55.7973597
Supermarkets,SuperBrugsen Finsensvej,12.5190172,55.6814020
Supermarkets,Meny,12.5318403,55.6941316
Supermarkets,Hemköp Kungsbacka Billdal,11.9614706,57.5607208
Supermarkets,Ica Maxi,13.7807967,56.1644424
Supermarkets,Coop Trollebergsvägen,13.1828926,55.7036444
Supermarkets,Fanø Brugsforening,8.4695845,55.3484384
Supermarkets,Min Købmand,9.9703863,54.9259061
Supermarkets,Nah & Frisch Laß,8.3156344,54.9249918
Supermarkets,Willys Göteborg Wieselgrensplatsen,11.9373898,57.7215229
Supermarkets,Coop Lundby,11.9351041,57.7215058
Supermarkets,Spar,8.1789307,55.7398040
Supermarkets,Coop Kristinedal,14.1507269,57.7784074
Supermarkets,REWE,13.6405082,54.5158959
Supermarkets,Bilka,8.6216894,56.3773594
Supermarkets,SuperBrugsen Ålekistevej,12.4836590,55.6824901
Supermarkets,MENY Lyngby,12.5055762,55.7686975
Supermarkets,SuperBrugsen Bramdrup,9.4793167,55.5220797
Supermarkets,MAXI ICA Stormarknad Kristianstad,14.1691196,56.0253211
Supermarkets,SPAR,10.0115065,55.7676307
Supermarkets,Løvbjerg,9.1392985,55.4764842
Supermarkets,Tempo Guldheden,11.9672746,57.6891249
Supermarkets,famila,8.3118867,54.9036709
Supermarkets,EDEKA Gehrke,8.3081904,54.9095510
Supermarkets,Willys Göteborg Elisedal,12.0005330,57.6823841
Supermarkets,Maxi ICA Stormarknad Göteborg,12.0051650,57.6802124
Supermarkets,ICA Kvantum Höganäs,12.5668356,56.1914856
Supermarkets,Meny Østerfælled Torv,12.5761370,55.7059237
Supermarkets,Rema 1000 Løvbakken Nørresundby,9.9264574,57.0717515
Supermarkets,Meny Måløv,12.3193199,55.7489740
Supermarkets,MENY Otterup,10.3997534,55.5134487
Supermarkets,Netto Gentofte,12.5412404,55.7473621
Supermarkets,Coop Mölndal,12.0140418,57.6490718
Supermarkets,Aldi,9.5753847,54.5318197
Supermarkets,REWE Schaller,9.5757348,54.5324623
Supermarkets,Unser Dorfladen,9.7541471,54.5042242
Supermarkets,Coop Broby,14.0767206,56.2542046
Supermarkets,EDEKA Lawrenz,9.2484951,54.7062097
Supermarkets,Willys Göteborg Sisjön,11.9525482,57.6400829
Supermarkets,Fleggaard,9.3800538,54.7950646
Supermarkets,Otto Duborg,9.3732023,54.7934926
Supermarkets,Brugsen Rømø,8.5608059,55.0876963
Supermarkets,Bo Ohlsson,13.9464492,55.5476790
Supermarkets,ICA Nära,13.1312219,56.1352616
Supermarkets,Willys Hemma Göteborg Vårväderstorget,11.8926319,57.7119417
Supermarkets,Hemköp Mölndal Bifrost,11.9915000,57.6618000
Supermarkets,Willys Hemma Göteborg Kaverös,11.9205040,57.6648999
Supermarkets,ICA,13.6858070,55.6349949
Supermarkets,Edeka Frischemarkt Nissen,8.4071770,54.7129838
Supermarkets,Willys Hemma Jönköping Torpa,14.1521342,57.7717749
Supermarkets,Coop Dalviksringen,14.1306973,57.7873951
Supermarkets,Coop Gamla Riksvägen,12.0503835,57.6104162
Supermarkets,Coop Sjöbo,13.6809954,55.6363829
Supermarkets,Føtex Food,10.2039814,56.1468196
Supermarkets,Meny Rønde,10.4757287,56.3005400
Supermarkets,Let-Køb,10.6114223,56.2296325
Supermarkets,SuperBrugsen Kridthøj Torv,10.1947348,56.1173163
Supermarkets,Coop Värnhem,13.0245578,55.6051524
Supermarkets,Hemköp Malmö Värnhem,13.0261045,55.6073464
Supermarkets,Coop Östra Förstadsgatan,13.0191464,55.6070415
Supermarkets,Matöppet,12.8888259,56.4329769
Supermarkets,Silke's Markt,13.3046447,54.6705344
Supermarkets,ICA Kvantum Toppen,12.9642132,55.4259764
Supermarkets,Coop Konsum,14.4748060,57.6997097
Supermarkets,ICA Supermarket Kärra,11.9900333,57.7943694
Supermarkets,Hemköp Göteborg Annedal,11.9590691,57.6931328
Supermarkets,Coop Asarum,14.8333121,56.2079746
Supermarkets,Möllebackens Livs,12.6916966,55.9110780
Supermarkets,Ihre Kette,10.0244477,54.5657153
Supermarkets,Coop Markaryd,13.5977042,56.4632418
Supermarkets,EDEKA List,8.4313401,55.0158262
Supermarkets,MENY Bagsværd,12.4555578,55.7605211
Supermarkets,365discount Bagsværd Torv,12.4544911,55.7600747
Supermarkets,ICA Supermarket Alvesta,14.5525041,56.9001892
Supermarkets,X-tra,14.5622337,56.9004862
Supermarkets,Kaufhaus Südstrand,8.5557290,54.6811504
Supermarkets,Coop Lönsboda,14.3225060,56.3987001
Supermarkets,ICA Nära Lönsboda,14.3210759,56.3974221
Supermarkets,EDEKA aktiv markt André Hetzel,9.5984558,54.5000836
Supermarkets,MENY Jægersborg Allé 4,12.5730604,55.7533013
Supermarkets,Coop 365 Discount,9.8451349,55.8635892
Supermarkets,ICA Kvantum Lerum,12.2454559,57.7508157
Supermarkets,Dagli'Brugsen Valby Vigerslevvej,12.4833944,55.6617750
Supermarkets,ICA Supermarket Tuve,11.9275812,57.7551604
Supermarkets,Rema 1000 Valby,12.5166671,55.6673085
Supermarkets,ICA Kvantum Ale,12.0470850,57.8942047
Supermarkets,ICA Supermarket Länsmanstorget,11.8935431,57.7335032
Supermarkets,Coop 365 discount Holte Midtpunkt,12.4717053,55.8109577
Supermarkets,MENY Nærum,12.5300574,55.8142607
Supermarkets,ICA Supermarket Söder,13.0053657,55.5919734
Supermarkets,ICA Supermarket Möllevången,13.0106421,55.5900059
Supermarkets,Coop Håstenshallen,12.2779350,57.1121130
Supermarkets,ICA Hajen Lågpris,12.2574167,57.1167799
Supermarkets,ICA Kvantum Varberg,12.2540179,57.1050120
Supermarkets,Tempo,13.1356109,55.6756373
Supermarkets,Willys,11.9473805,57.6934079
Supermarkets,Døgn Netto,12.5402830,55.6693343
Supermarkets,Coop Norra Parkgatan,13.0127291,55.5955544
Supermarkets,MENY Kastrup,12.5859532,55.6033760
Supermarkets,Maxi ICA Stormarknad Angered,12.0496839,57.7952231
Supermarkets,Coop X:-tra,13.9523574,56.8292927
Supermarkets,Hemköp Vrigstad,14.4765000,57.3551000
Supermarkets,Meny Solrødcenter,12.2170419,55.5336693
Supermarkets,SuperBrugsen Solrød Center,12.2161836,55.5337422
Supermarkets,ICA Supermarket Högsbo,11.9269107,57.6712208
Supermarkets,Ica Nära Pilen,12.9706558,57.7070363
Supermarkets,Willys Hemma Göteborg Påvelund,11.8745000,57.6647000
Supermarkets,Ludvigsborgs lanthandel ICA,13.6075726,55.9041876
Supermarkets,Hemköp Göteborg Högsbo,11.9125606,57.6731650
Supermarkets,Føtex Fisketorvet,12.5599029,55.6616576
Supermarkets,ICA Nära Häljarpshallen,12.9110929,55.8563350
Supermarkets,ICA Torgboden,12.8342044,55.3911540
Supermarkets,Edeka Dehn,8.2879617,54.7558691
Supermarkets,Coop 365,12.5447664,55.6723222
Supermarkets,Hemköp Helsingborg Laröd,12.6548000,56.0911000
Supermarkets,Coop Eriksberg,11.9195250,57.7088860
Supermarkets,SuperBrugsen Christianshavn,12.5912305,55.6719051
Supermarkets,Købmand Brabrand,10.0909521,56.1502870
Supermarkets,Super Brugsen,10.0619478,56.2645093
Supermarkets,ICA Maxi Stormarknad,14.7666698,56.8835469
Supermarkets,ICA City Centrum,12.9413455,57.7225053
Supermarkets,Dagli'Brugsen Herskind,9.9631374,56.1839318
Supermarkets,REMA 1000,12.5258944,55.8335279
Supermarkets,ICA Supermarket Sölvesborg,14.5824672,56.0495177
Supermarkets,Meny Allerød,12.3325984,55.8665832
Supermarkets,SuperBrugsen Roskilde,12.0891768,55.6406941
Supermarkets,ICA Supermarket Munka Ljungby,12.9687850,56.2596849
Supermarkets,Netto Sadolinparken,12.6097924,55.6651131
Supermarkets,Willys Hemma Tuve,11.9274097,57.7554355
Supermarkets,ICA Supermarket Vallhamra,12.0709161,57.7205754
Supermarkets,Coop Vä,14.0958530,56.0017982
Supermarkets,Kaufland,9.4311389,54.7621762
Supermarkets,ALDI Nord,9.4316456,54.7599290
Supermarkets,Hemköp Västra Frölunda Långedrag,11.8798156,57.6718758
Supermarkets,Willys Kristianstad Långebro,14.1409000,56.0238000
Supermarkets,Coop Svängsta,14.7712396,56.2628004
Supermarkets,Rema 1000 Amagerbrogade,12.6174491,55.6405072
Supermarkets,MENY Amager,12.6075277,55.6686776
Supermarkets,"Rema 1000 Haderslev, Sejlstensgyde",9.4938122,55.2484253
Supermarkets,Stora Coop Varberg,12.2782698,57.0824099
Supermarkets,Willys Malmö Katrinelund,13.0335000,55.5995000
Supermarkets,ICA Supermarket Båstad,12.8492283,56.4269255
Supermarkets,SuperBrugsen Dianalund,11.4967281,55.5266700
Supermarkets,Meny Værløse Bymidte,12.3738595,55.7842387
Supermarkets,Edeka Frischemarkt Hückstedt,8.4896025,54.6920004
Supermarkets,ICA Träffen,12.8680230,56.2388193
Supermarkets,Hemköp,14.0458000,57.1846000
Supermarkets,Yngsjö Livs,14.2291694,55.8831915
Supermarkets,Einkaufsmarkt,10.0247899,54.5981592
Supermarkets,Coop Älmhult,14.1402165,56.5526464
Supermarkets,Coop Styrsö,11.7817304,57.6156050
Supermarkets,Skiveren Super,10.2794043,57.6160685
