Type,Name,Latitude,Longitude
Supermarkets,MENY Hjallesevej,55.3806611,10.3963852
Supermarkets,,54.9147839,11.22135
Supermarkets,Kvickly,55.7499159,12.1069981
Supermarkets,365discount,56.1682064,10.1618206
Supermarkets,SuperBrugsen,56.1578239,10.1986826
Supermarkets,Netto,55.655972,12.4854155
Supermarkets,Føtex,55.6268313,12.483717
Supermarkets,Rema 1000,55.7148679,10.0119542
Supermarkets,SuperBrugsen Købenavn SV,55.6479992,12.526752
Supermarkets,Spar Blåvand,55.5544358,8.1251044
Supermarkets,Brugsen,55.6724767,12.5553973
Supermarkets,365 discount,55.6482365,12.5274664
Supermarkets,Bilka Ishøj,55.6143437,12.3537267
Supermarkets,Bilka Waves - Hundige,55.5987845,12.3263466
Supermarkets,Spar Vejby,56.081624,12.1296204
Supermarkets,Dagli'Brugsen,55.7973597,12.5143431
Supermarkets,SuperBrugsen Finsensvej,55.681402,12.5190172
Supermarkets,Meny,55.6941316,12.5318403
Supermarkets,Fanø Brugsforening,55.3484384,8.4695845
Supermarkets,Min Købmand,54.9259061,9.9703863
Supermarkets,Spar,55.739804,8.1789307
Supermarkets,Bilka,56.3773594,8.6216894
Supermarkets,SuperBrugsen Ålekistevej,55.6824901,12.483659
Supermarkets,MENY Lyngby,55.7686975,12.5055762
Supermarkets,SuperBrugsen Bramdrup,55.5220797,9.4793167
Supermarkets,SPAR,55.7676307,10.0115065
Supermarkets,Løvbjerg,55.4764842,9.1392985
Supermarkets,Meny Østerfælled Torv,55.7059237,12.576137
Supermarkets,Rema 1000 Løvbakken Nørresundby,57.0717515,9.9264574
Supermarkets,Meny Måløv,55.748974,12.3193199
Supermarkets,MENY Otterup,55.5134487,10.3997534
Supermarkets,Netto Gentofte,55.7473621,12.5412404
Supermarkets,Brugsen Rømø,55.0876963,8.5608059
Supermarkets,Føtex Food,56.1468196,10.2039814
Supermarkets,Meny Rønde,56.30054,10.4757287
Supermarkets,Let-Køb,56.2296325,10.6114223
Supermarkets,SuperBrugsen Kridthøj Torv,56.1173163,10.1947348
Supermarkets,MENY Bagsværd,55.7605211,12.4555578
Supermarkets,365discount Bagsværd Torv,55.7600747,12.4544911
Supermarkets,MENY Jægersborg Allé 4,55.7533013,12.5730604
Supermarkets,Coop 365 Discount,55.8635892,9.8451349
Supermarkets,Dagli'Brugsen Valby Vigerslevvej,55.661775,12.4833944
Supermarkets,Rema 1000 Valby,55.6673085,12.5166671
Supermarkets,Coop 365 discount Holte Midtpunkt,55.8109577,12.4717053
Supermarkets,MENY Nærum,55.8142607,12.5300574
Supermarkets,Døgn Netto,55.6693343,12.540283
Supermarkets,MENY Kastrup,55.603376,12.5859532
Supermarkets,Meny Solrødcenter,55.5336693,12.2170419
Supermarkets,SuperBrugsen Solrød Center,55.5337422,12.2161836
Supermarkets,Føtex Fisketorvet,55.6616576,12.5599029
Supermarkets,Coop 365,55.6723222,12.5447664
Supermarkets,SuperBrugsen Christianshavn,55.6719051,12.5912305
Supermarkets,Købmand Brabrand,56.150287,10.0909521
Supermarkets,Super Brugsen,56.2645093,10.0619478
Supermarkets,Dagli'Brugsen Herskind,56.1839318,9.9631374
Supermarkets,REMA 1000,55.8335279,12.5258944
Supermarkets,Meny Allerød,55.8665832,12.3325984
Supermarkets,SuperBrugsen Roskilde,55.6406941,12.0891768
Supermarkets,Netto Sadolinparken,55.6651131,12.6097924
Supermarkets,Rema 1000 Amagerbrogade,55.6405072,12.6174491
Supermarkets,MENY Amager,55.6686776,12.6075277
Supermarkets,"Rema 1000 Haderslev, Sejlstensgyde",55.2484253,9.4938122
Supermarkets,SuperBrugsen Dianalund,55.52667,11.4967281
Supermarkets,Meny Værløse Bymidte,55.7842387,12.3738595
Supermarkets,Skiveren Super,57.6160685,10.2794043
Supermarkets,Netto Greve Center,55.5818686,12.2951336
Supermarkets,SuperBrugsen Glesborg,56.4786837,10.725448
Supermarkets,Inco,55.6668998,12.5599965
Supermarkets,"Rema 1000 Risskov, Smedegade",56.1957945,10.2165946
Supermarkets,Meny Haslev,55.3289431,11.9610815
Supermarkets,SuperBrugsen Asnæs Centret,55.8116735,11.5015364
Supermarkets,Dagli'Brugsen Mejdal,56.3472545,8.6463098
Supermarkets,Netto Lollands Centret,54.774395,11.5060845
Supermarkets,SuperBrugsen Maribo,54.7761002,11.4926551
Supermarkets,Min Købmand Møldrup,56.6158638,9.5012513
Supermarkets,Meny Svogerslev,55.6333957,12.0162396
Supermarkets,Rema 1000 Frederiksgade,56.1535184,10.202579
Supermarkets,Meny Naksov,54.8290196,11.1372832
Supermarkets,SuperBrugsen Trekroner,55.6485979,12.131603
Supermarkets,SuperBrugsen Ringe,55.2374881,10.4802484
Supermarkets,Hedebo super,57.3551863,10.5112766
Supermarkets,SuperBrugsen Skagen,57.7229127,10.5908408
Supermarkets,Min Købmand Jerlev,55.6728233,9.4360009
Supermarkets,Kooperativet,56.2848025,10.5848787
Supermarkets,Meny Saltum,57.272935,9.6974561
Supermarkets,Meny Fjerritslev,57.0871793,9.2670655
Supermarkets,Gudme Købmandsbutik,55.1532405,10.7045305
Supermarkets,SuperBrugsen Humlebæk,55.9639522,12.530991
Supermarkets,Rema 1000 Jyllingvej,55.6916158,12.4821596
Supermarkets,Basalt,55.6657373,12.3910356
Supermarkets,Den Vietnamesiske Købmand,55.6611129,12.6069427
Supermarkets,Brugsen Østerbrogade 52,55.6972519,12.5796061
Supermarkets,Rema 1000 Fløng,55.6600681,12.1834632
Supermarkets,MENY Espergærde,55.9947305,12.5460476
Supermarkets,365 Discount Espergærde Center,55.9953755,12.5464097
Supermarkets,Meny Kennedy Arkaden,57.0421439,9.9192602
Supermarkets,Lidl Risskov,56.2016084,10.2449033
Supermarkets,365discount Jægerspris,55.8550445,11.984912
Supermarkets,MinKøbmand,55.4357479,8.7195967
Supermarkets,Dagli Brugsen Herman Bangs Plads,55.667322,12.503252
Supermarkets,365discount Roskilde Skomagergade,55.6406868,12.0771952
Supermarkets,SuperBrugsen Erslev,56.8365843,8.7171062
Supermarkets,Rema 1000 Farsø,56.772186,9.3430195
Supermarkets,Rema 1000 Holstebro Døesvej,56.3649516,8.6087526
Supermarkets,Rema 1000 Kjellerup,56.2876573,9.4291635
Supermarkets,Rema 1000 Vesterport,55.6753798,12.5633231
Supermarkets,Rema 1000 Nørresundby,57.0595199,9.9192713
Supermarkets,Rema 1000 Ølby Centret,55.4784689,12.174851
Supermarkets,DagliBrugsen Brydes Allé,55.6583835,12.5972507
Supermarkets,Netto Nykøbing Sjælland,55.9231491,11.667586
Supermarkets,SuperBrugsen Vamdrup,55.4273917,9.2841983
Supermarkets,Købmand Nord,56.1774571,10.1785626
Supermarkets,Netto Korsørgade,55.7073925,12.5803833
Supermarkets,Salling,56.1541716,10.2070626
Supermarkets,MENY Karlslunde,55.5668931,12.2690246
Supermarkets,Bazar Slagelse,55.4056052,11.3531251
Supermarkets,Dige Lavpris,56.7023898,8.6950241
Supermarkets,Istanbul Bazar,55.7026557,12.533153
Supermarkets,MENY Rugårdsvej,55.4123775,10.3276723
Supermarkets,Meny Søborg,55.7364276,12.5109259
Supermarkets,SuperBrugsen Bullerup,55.4280848,10.4764163
Supermarkets,Meny Rungsted,55.8832718,12.5286741
Supermarkets,Meny Frederikssund,55.8381612,12.0569185
Supermarkets,Meny Thorsø,56.2974553,9.7908547
Supermarkets,Letkøb Serritslev,57.3137361,9.9752258
Supermarkets,Hauge Minimarked,56.2583952,9.3734788
Supermarkets,LetKøb,56.1408206,10.181606
Supermarkets,Toreby Købmandshandel,54.755033,11.7823952
Supermarkets,Vestegnens Bazar,55.6216452,12.4224497
Supermarkets,Spar Karrebæksminde,55.1780618,11.645962
Supermarkets,LIDL Dyssegård,55.7388581,12.5223325
Supermarkets,SuperBrugsen Svenstrup J,56.9731981,9.8513478
Supermarkets,Meny Skørping,56.8356238,9.8897193
Supermarkets,Irma Østerport Station,55.6920856,12.5882721
Supermarkets,SuperBrugsen Ullerød,55.9397799,12.2755275
Supermarkets,SuperBrugsen Herstedvester,55.6702909,12.3388195
Supermarkets,SuperBrugsen Smørumnedre,55.7327803,12.3057925
Supermarkets,MENY Skibby,55.7521166,11.9590751
Supermarkets,Føtex Nørresundby Butikscenter,57.0598224,9.9180331
Supermarkets,Coop365 Sønderport,57.05794,9.924448
Supermarkets,365discount Tagensvej,55.701389,12.551461
Supermarkets,Føtex Frederiksberg Centeret,55.6818426,12.5323765
Supermarkets,365discount Skjern,55.9465583,8.4939154
Supermarkets,Elite Købmand,55.762532,12.5244089
Supermarkets,Supermarco,55.655436,12.5468164
Supermarkets,Wefood,55.6552817,12.6103299
Supermarkets,Rema 1000 Vallensbæk,55.624395,12.3887549
Supermarkets,MENY,55.7311376,12.3612446
Supermarkets,Skals Nærkøb,56.555412,9.402731
Supermarkets,ABC Lavpris,56.4742267,10.0116014
Supermarkets,Rema 1000 Nordbyen,54.807514,11.8721943
Supermarkets,Det Grønne Hjørne,55.059534,10.6103336
Supermarkets,Netto Mosede Center,55.5774286,12.2757268
Supermarkets,Rema 1000 Holbæk Kalundborgvej,55.7121345,11.66383
Supermarkets,SuperBrugsen Godthåbsvej,55.6930747,12.5119916
Supermarkets,Rema 1000 Brøndby Strand,55.6222643,12.4228928
Supermarkets,Meny Næstved,55.2285957,11.7619046
Supermarkets,Super Center,55.7023316,12.5323964
Supermarkets,SuperBrugsen Fensmark,55.2792147,11.8030226
Supermarkets,Meny Hjerting Bycenter,55.526304,8.3581502
Supermarkets,Asien Supermarket,55.7117442,12.5772203
Supermarkets,Rema 1000 Glostrup,55.6659873,12.3794752
Supermarkets,LIDL,55.7190974,12.5535955
Supermarkets,Rågeleje Købmand,56.095884,12.1714072
Supermarkets,Meny Hals,56.9923187,10.3071553
Supermarkets,MinKØBMAND,55.7204124,12.4703419
Supermarkets,Lygten Bazar,55.7028098,12.53736
Supermarkets,Meny Himmelev,55.6580085,12.1060704
Supermarkets,Eurodeli,55.6221192,12.4213949
Supermarkets,Den Belgiske ølbutik,55.6929891,12.4886033
Supermarkets,MENY Hobro,56.6267748,9.8047886
Supermarkets,MENY Bryggervangen,55.7099448,12.5638436
