Type,Name,Latitude,Longitude
Supermarkets,ICA Kvantum Landvetter,57.6863361,12.211245
Supermarkets,Edeka,54.621634,13.2912213
Supermarkets,MENY Hjallesevej,55.3806611,10.3963852
Supermarkets,,54.9147839,11.22135
Supermarkets,Kvickly,55.7499159,12.1069981
Supermarkets,Coop,55.8866111,12.8276609
Supermarkets,Hemköp Göteborg Stigbergstorget,57.6988663,11.9348583
Supermarkets,Hemköp Lund Karhögstorg,55.6945,13.1915
Supermarkets,Ica Kvantum Sjöbo,55.6308335,13.7084811
Supermarkets,Hemköp Dalby,55.6644,13.3491
Supermarkets,ICA Supermarket,55.6426594,13.204794
Supermarkets,Lidl,55.6413425,13.0892851
Supermarkets,365discount,56.1682064,10.1618206
Supermarkets,Ica Brunnshallen Simrishamn,55.5568756,14.3466785
Supermarkets,SuperBrugsen,56.1578239,10.1986826
Supermarkets,ICA Kvantum,55.7097522,13.2151317
Supermarkets,ICA Supermarket Gunnarssons,55.9140043,13.1093845
Supermarkets,Willy's Simrishamn,55.5519601,14.3478111
Supermarkets,Ica Nära Vollsjö,55.7059365,13.790071
Supermarkets,Inselmarkt Kloster,54.586852,13.1083852
Supermarkets,EDEKA,54.5678466,13.1050852
Supermarkets,Coop Konsum Knislinge,56.1925482,14.0868843
Supermarkets,Netto,55.655972,12.4854155
Supermarkets,City Gross,56.2021772,12.5677984
Supermarkets,EDEKA Blask,54.7822278,9.4508269
Supermarkets,Ica Nära Lövestad,55.6534088,13.8899775
Supermarkets,Føtex,55.6268313,12.483717
Supermarkets,Rema 1000,55.7148679,10.0119542
Supermarkets,Frischemarkt B. R. Rickmers,54.7316897,8.4462969
Supermarkets,SuperBrugsen Købenavn SV,55.6479992,12.526752
Supermarkets,Spar Blåvand,55.5544358,8.1251044
Supermarkets,Brugsen,55.6724767,12.5553973
Supermarkets,Gränsbygden Köpcentrum,56.4852931,13.5289904
Supermarkets,365 discount,55.6482365,12.5274664
Supermarkets,Bilka Ishøj,55.6143437,12.3537267
Supermarkets,Bilka Waves - Hundige,55.5987845,12.3263466
Supermarkets,ICA Supermarket Bergsjön,57.7565012,12.071777
Supermarkets,Hemköp Göteborg Kortedala Torg,57.7521,12.0314
Supermarkets,Willys hemma,57.6962192,11.9340689
Supermarkets,ICA Supermarket Majorna,57.6972771,11.9276093
